Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.09,1179.28,0.16,1687.36,0.06,295.49,0.6,2.83,0.69,0.55,0.51,0.06,5.49,10.69,0.04,2891.69,864.37,2967.68,3.57,1.38,0.84,7.26,19.25,67.89,63.34,40.8,9.95,6.12,66.32,17.9,247.83,6.1,10.29,41.09,55.1,292.77,11.06,17.28,63.25,145.77,163.04,0.32,155.93,5.53,1928.78,3.0,367.04
0.04,2226.37,0.07,228.3,0.03,743.66,0.22,3.79,2.39,0.56,0.19,0.04,5.76,29.19,0.04,1597.22,23112.5,333.55,1.2,0.91,0.37,21.72,22.42,30.05,119.44,275.5,23.19,17.03,33.43,122.54,125.05,20.69,27.68,23.39,151.13,211.08,29.95,17.83,68.55,134.33,15.82,0.12,641.96,26.45,2849.06,4.0,4589.65
0.11,826.37,0.08,624.25,0.16,871.08,0.49,3.48,3.42,0.37,0.63,0.06,2.06,26.27,0.06,971.22,6210.15,3016.62,3.24,1.19,0.39,16.45,9.8,31.36,92.59,83.21,5.21,24.21,37.49,130.61,194.87,9.7,10.91,42.38,92.57,321.15,10.02,8.45,15.46,104.46,201.92,0.24,986.47,13.98,2095.87,6.0,4185.42
0.14,1293.7,0.1,750.25,0.02,352.68,0.47,1.02,1.28,0.71,0.96,0.06,3.06,20.64,0.07,8702.55,10274.73,864.48,3.65,0.99,0.74,22.37,8.8,80.3,115.82,238.41,8.55,11.69,75.38,1.96,48.3,32.82,24.29,79.18,95.44,305.77,16.16,19.59,56.33,127.34,355.62,0.28,197.49,14.03,319.06,8.0,34.38
0.14,322.21,0.09,478.16,0.04,726.87,0.16,1.43,1.09,0.77,0.63,0.05,2.91,11.94,0.04,9168.62,11676.14,896.83,3.22,1.18,0.32,28.71,28.54,19.91,91.59,353.15,5.94,5.34,35.79,52.71,140.97,13.7,2.12,54.85,146.95,98.91,10.86,20.48,81.86,0.67,137.17,-0.08,1141.7,3.79,2544.15,6.0,94.04
0.06,2035.22,0.03,1128.08,0.05,812.46,0.28,2.32,0.92,0.72,1.1,0.04,1.94,20.49,0.09,1759.17,13639.7,2343.78,3.33,0.94,0.64,29.75,9.21,83.61,140.2,72.29,13.63,12.8,29.47,8.6,86.39,3.16,13.98,12.75,163.59,169.62,19.36,13.64,12.49,123.96,352.85,0.08,1089.22,16.13,660.23,7.0,905.42
0.17,536.73,0.16,652.47,0.03,1360.25,0.23,4.29,2.42,0.39,0.75,0.05,1.0,10.32,0.04,1010.17,6888.03,2904.83,3.47,0.8,0.6,8.09,24.94,44.86,144.17,342.74,20.48,11.48,75.55,174.9,57.15,8.84,13.54,84.48,70.4,27.96,15.81,3.56,59.79,54.04,214.15,0.23,1450.83,29.6,272.71,4.0,1184.79
0.04,718.05,0.03,985.98,0.11,642.27,0.26,2.54,2.46,0.51,1.33,0.04,0.51,12.69,0.04,10430.45,2656.74,1194.67,3.29,1.34,0.71,7.82,8.44,16.74,0.5,29.96,25.34,8.71,47.65,128.29,124.72,24.41,20.8,38.18,175.02,220.3,32.52,27.6,22.86,155.23,59.25,-0.04,943.88,11.52,2327.26,7.0,220.56
0.1,237.69,0.05,789.22,0.13,973.75,0.79,2.96,0.44,0.59,2.5,0.03,1.45,5.89,0.03,2117.75,2435.62,2977.98,4.39,0.7,0.71,7.14,22.98,23.63,170.83,281.02,18.0,8.99,27.38,75.75,244.47,16.95,14.17,18.64,147.99,202.62,11.6,17.88,84.14,69.73,153.1,0.26,625.35,5.51,13.23,1.0,106.36
0.09,207.61,0.15,265.84,0.03,48.91,0.86,3.53,2.77,0.64,1.79,0.05,1.81,15.12,0.08,10424.67,16928.2,3066.83,2.51,0.8,0.71,26.4,12.54,5.63,153.23,40.6,7.37,28.57,73.85,46.56,103.05,17.39,35.23,68.62,84.73,231.56,25.87,24.81,30.68,155.34,324.5,-0.06,1167.14,11.85,764.4,7.0,127.67
