Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.09,535.04,0.16,1789.11,0.06,2189.92,0.26,3.39,1.47,0.65,2.44,0.03,0.93,10.11,0.05,4243.9,34992.0,212.0,4.07,1.48,0.76,8.76,26.05,39.32,4.52,27,11.12,18.76,4.32,31.33,117,32.04,7.08,13.31,83.97,207,28.46,7.99,47.37,123.1,297,0.15,204.48,23.08,1880.23,3.0,916.98
0.16,1332.95,0.17,144.27,0.16,175.41,0.15,2.7,1.2,0.52,0.84,0.03,2.23,24.56,0.08,931.03,37854.18,170.47,2.18,1.12,0.31,2.92,11.66,25.53,153.12,82,18.84,1.81,57.67,111.11,172,1.57,35.6,23.55,28.66,262,13.61,2.52,43.12,4.29,352,0.3,615.85,17.23,1025.68,8.0,1991.99
0.05,1920.94,0.15,465.43,0.1,597.68,0.14,2.77,0.96,0.31,2.15,0.06,4.75,20.08,0.1,2008.38,54309.5,223.84,2.02,1.01,0.41,10.62,15.42,33.43,90.13,59,7.25,24.85,6.76,35.69,149,4.26,29.51,54.37,142.02,239,3.55,48.72,47.18,150.02,329,-0.04,455.06,0.62,1536.36,6.0,572.72
0.15,1114.99,0.06,194.45,0.02,229.63,0.58,3.85,0.6,0.65,0.41,0.05,0.62,16.96,0.08,631.92,8729.17,137.17,2.99,1.02,0.58,9.36,7.25,23.59,111.52,59,13.44,3.1,26.53,95.19,149,8.67,10.03,61.27,39.61,239,5.06,6.11,71.05,59.46,329,0.14,102.02,27.21,242.03,4.0,1027.61
0.07,1653.2,0.09,391.41,0.06,398.16,0.54,1.97,1.92,0.64,1.99,0.07,2.84,17.23,0.03,2570.62,72782.78,172.95,2.11,1.39,0.55,16.17,9.59,37.09,95.3,74,23.47,3.76,67.53,159.22,164,16.87,8.03,38.18,175.02,254,11.04,7.61,44.99,11.97,344,-0.05,574.29,19.63,102.57,8.0,150.43
0.09,132.42,0.07,240.26,0.03,277.93,0.13,4.74,0.24,0.58,0.89,0.05,2.93,27.23,0.09,233.01,705.47,26.49,1.76,1.02,0.76,1.72,11.31,74.11,99.3,23,5.1,4.31,17.61,18.69,113,5.18,3.07,31.1,149.58,203,9.42,3.06,0.51,4.82,293,0.28,127.92,1.62,283.14,1.0,345.74
0.08,473.72,0.03,500.79,0.12,535.92,0.84,2.07,0.26,0.83,1.18,0.05,1.49,19.31,0.05,912.62,7283.44,148.66,1.08,1.15,0.42,1.59,36.1,20.47,172.01,49,10.26,5.47,36.9,6.82,139,6.03,9.43,16.9,30.65,229,3.3,28.55,24.49,74.81,319,-0.05,36.11,6.24,848.09,2.0,604.33
0.03,669.33,0.06,614.12,0.17,703.88,0.78,1.02,0.6,0.34,2.52,0.03,0.88,16.7,0.09,1171.33,8377.11,201.12,3.04,1.27,0.54,2.56,22.17,59.15,154.23,38,9.12,4.47,32.58,11.78,128,11.01,5.55,3.39,47.28,218,5.91,6.83,41.52,155.22,308,0.2,374.19,25.91,1167.23,2.0,2306.44
0.16,797.22,0.03,100.9,0.13,126.84,0.73,4.15,0.6,0.78,2.34,0.06,4.35,28.63,0.05,314.23,4992.44,61.77,2.7,1.18,0.85,5.36,3.69,34.53,105.06,81,3.79,2.13,23.26,109.48,171,4.01,4.26,7.9,75.79,261,2.24,7.97,77.37,137.08,351,0.01,269.48,26.73,46.2,4.0,507.42
0.13,1266.59,0.13,310.87,0.04,371.52,0.49,2.45,3.04,0.38,2.75,0.07,0.79,25.51,0.05,1983.77,46824.94,334.66,1.28,1.15,0.76,10.93,7.71,35.19,56.0,87,9.82,12.13,75.35,65.8,177,12.47,8.38,80.42,127.45,267,7.03,18.28,62.85,104.45,357,0.38,457.42,26.78,1457.92,8.0,1822.79
